Metric / Pillar,Indicator,Weight,Data Source,Source URL,Technical Definition & Rationale
GIDA Indicator 1,Mobile Downspeed,10%,Ookla Speedtest Intelligence,https://lookerstudio.google.com/u/0/reporting/7118ca47-1563-4f51-b0db-a19b8ea4f3c7/page/p_6h58g3u7ld,Measures average cellular mobile download speed in the barangay.
GIDA Indicator 2,FW4A Presence,10%,DICT Fixed Wireless Siting Audit,https://lookerstudio.google.com/u/0/reporting/7118ca47-1563-4f51-b0db-a19b8ea4f3c7/page/p_6h58g3u7ld,Identifies existing Fixed Wireless Access 4G/5G deployments.
GIDA Indicator 3,Nighttime Lights Radiance,15%,VIIRS / NASA Earth Observatory,https://lookerstudio.google.com/u/0/reporting/7118ca47-1563-4f51-b0db-a19b8ea4f3c7/page/p_6h58g3u7ld,Measures electrification and nocturnal human settlement radiance.
GIDA Indicator 4,Surrounding POIs,10%,OpenStreetMap / DepEd / DOH,https://lookerstudio.google.com/u/0/reporting/7118ca47-1563-4f51-b0db-a19b8ea4f3c7/page/p_6h58g3u7ld,"Density of public schools, rural health units, and community centers."
GIDA Indicator 5,Distance to Road Network,15%,DPWH / OSM National Road Layer,https://lookerstudio.google.com/u/0/reporting/7118ca47-1563-4f51-b0db-a19b8ea4f3c7/page/p_6h58g3u7ld,Geographic distance to nearest paved all-weather transport route.
GIDA Indicator 6,Hazard Vulnerability,10%,MGB / NOAH / PAGASA,https://lookerstudio.google.com/u/0/reporting/7118ca47-1563-4f51-b0db-a19b8ea4f3c7/page/p_6h58g3u7ld,"Exposure index to typhoons, storm surge, and landslides."
GIDA Indicator 7,Insurgency & Conflict,10%,AFP / PNP Peace & Order Index,https://lookerstudio.google.com/u/0/reporting/7118ca47-1563-4f51-b0db-a19b8ea4f3c7/page/p_6h58g3u7ld,Security risk classification and historical incident counts.
GIDA Indicator 8,Population Reach,5%,PSA 2024 POPCEN (Proclamation No. 973),https://psa.gov.ph/content/2024-census-population-popcen-population-counts-declared-official-president,Official 2024 census count declared by President Marcos.
GIDA Indicator 9,Cell Tower Deficit,5%,NTC / TowerCo Cell Site Registry,https://lookerstudio.google.com/u/0/reporting/7118ca47-1563-4f51-b0db-a19b8ea4f3c7/page/p_6h58g3u7ld,Proximity deficit to existing macro telecommunications towers.
GIDA Indicator 10,Broadband Downspeed,10%,NTC / Speedtest Wireline Benchmark,https://lookerstudio.google.com/u/0/reporting/7118ca47-1563-4f51-b0db-a19b8ea4f3c7/page/p_6h58g3u7ld,Absence of high-speed wireline fiber to the home (FTTH).
GIDA Indicator 11,Poverty Incidence,10%,PSA FIES Official Statistics 2024,https://psa.gov.ph/statistics/income-expenditure/fies/stat-tables/released/2026,Proportion of families living below the poverty threshold.
Transmission Layer,Fiber Backbone Proximity,Routing,Converge ICT National Backbone KMZ,Converge ICT Nov 2024 Infrastructure Report,"Haversine distance to 2,405 optical nodes and 334k line vertices."
LEO Satellite Layer,Starlink Backhaul Siting,Routing,SpaceX Starlink Business Specifications,https://www.starlink.com/business,High-throughput satellite backhaul for sites > 5km from optical nodes.
