Metric / Column Header,Category,Authoritative Agency / Operator,Primary Source Document / Asset,Technical Derivation & Mathematical Formula,Operational & Business Rationale
PSGC Code,Demographic & Admin,Philippine Statistics Authority (PSA),PSA List of Barangays.xlsx (Col A),"10-digit standardized geographic code (e.g., '0102801001') assigned by the Philippine Standard Geographic Code registry.","Serves as the unique primary key joining demographic census data, DICT coordinates, and municipal revenue class records."
"Region, Province, Municipality, Barangay",Demographic & Admin,Philippine Statistics Authority (PSA),"PSA List of Barangays.xlsx (Cols C, E, G, I)",Official administrative naming hierarchy as defined by the Republic of the Philippines Department of the Interior and Local Government (DILG).,"Establishes precise administrative boundaries, political jurisdictions, and regional sales distribution territories."
2020 Pop (Population),Demographic & Market Size,Philippine Statistics Authority (PSA),"2020 Census of Population and Housing (CPH), PSA List of Barangays.xlsx (Col M)",Official census baseline population count per barangay from the latest nationwide CPH.,Direct measure of market size and local human density; foundational input for calculating total addressable home broadband households.
Urban / Rural ('U' / 'R'),Demographic & Siting,Philippine Statistics Authority (PSA),"PSA Urban-Rural Classification of Barangays (2020 CPH), PSA List of Barangays.xlsx (Col L)","Binary statistical classification based on population threshold, contiguous street pattern, and presence of institutional/commercial establishments.",Rural catchments ('R') receive priority under the Necessity pillar (85 pts vs 25 pts) to target unserved populations with zero fixed-line broadband.
Avg HH Size (Persons/HH),Demographic & Household,PSA 2020 CPH & Department of Finance (DOF) / BLGF,"FWA_Target_Municipalities.xlsx (Sheet: 'All Class 4-6 (668)', Col H) & PSA CPH",Localized average persons per household derived from PSA provincial/municipal census tables. National mean is 4.10; localized values range from 3.8 to 4.9.,Converts raw population into family dwelling units (households). Using localized multipliers prevents severe over- or under-sizing of local network demand.
Households,Market Sizing,Derived Metric (PSA Census),"Modeled: = ROUND(Population / Avg HH Size, 0)","Mathematical division of barangay population by localized average household size, rounded to the nearest whole household.",Represents the Total Addressable Market (TAM) of home broadband premises within the barangay boundaries.
Municipal Income Class,Economic & Policy,Department of Finance (DOF) / Bureau of Local Government Finance (BLGF),DOF Department Order No. 074-2024 & RA 11964 (LGU Income Classification Act) via FWA_Target_Municipalities.xlsx,Official classification of local government units from 1st class (highest income) to 6th class (lowest income) based on average annual regular revenue.,Focuses universal service on 4th to 6th class municipalities (scoring 70 to 100 pts under Necessity) where wireline FTTH economics fail for incumbents.
Latitude & Longitude,Geospatial Coordinates,Department of Information and Communications Technology (DICT),2026 DICT FPIAP GIDA Barangay Prioritization Tool Table.csv,"WGS84 decimal degree coordinates for 41,981 unique barangays, verified through DICT Free Public Internet Access Program (FPIAP) surveys.",Provides the precise spatial centroid of the barangay settlement core for point-to-point distance calculations to fiber nodes and towers.
Dist. to Nearest Node (km),Optical Transport Proximity,Converge ICT Solutions Inc.,"NATIONAL & REGIONAL BACKBONE_NOV 2024_REPORT.kmz (2,405 active backbone / IP-MPLS nodes)","Great-circle distance calculated via Haversine formula:
d = 2R * arcsin(sqrt(sin^2(dphi/2) + cos(p1)*cos(p2)*sin^2(dlmb/2)))
against all 2,405 Converge backbone nodes.",Primary driver of backhaul CAPEX and deployment velocity. Sites within 1 km (Tier 1A) allow rapid fiber drop with minimal lateral construction cost.
Dist. to Fiber Line (km),Optical Corridor Proximity,Converge ICT Solutions Inc.,"NATIONAL & REGIONAL BACKBONE_NOV 2024_REPORT.kmz (4,401 fiber segments / 334,462 vertices)","Geometric distance calculated via 0.25-degree spatial grid index against 44,959 downsampled fiber route vertices.",Identifies barangays situated along existing long-haul and regional optical transport corridors; awards +10 bonus points if within 2.0 km.
Deploy Tier,Engineering Readiness,TelTech & Comclark Engineering,Engineering Siting Specifications & Distance Matrix,"Categorical classification derived from dist_node_km and dist_line_km:
- Tier 1A: Direct Coloc (<1 km)
- Tier 1B: Micro Drop (1-3 km)
- Tier 2: Fiber Corridor (3-5 km or <=2km line)
- Tier 3: Feeder Lateral (5-10 km)
- Tier 4: In-Province Spur (>10 km)","Defines civil works readiness, permitting timeline, and backhaul transmission architecture (direct fiber vs. microwave/satellite spur)."
Carrier Spectrum,Radio Spectrum,3GPP & National Telecommunications Commission (NTC),"3GPP TS 38.101-1 (Band n50, 1432-1517 MHz, 1.5 GHz L-Band TDD) & NTC Spectrum Allocations",60 MHz contiguous TDD carrier bandwidth in sub-2 GHz L-Band spectrum.,"Provides the optimal compromise between deep indoor building penetration, non-line-of-sight (NLOS) propagation, and 2.5-3.5 km rural cell coverage radius."
Subs @ 30% (Target Subscribers),Commercial Demand,Commercial Business Model Assumption,Commercial Business Case Assumption (FWA Meeting Pack),"Modeled: = ROUND(Households * 0.30, 0)",Calculates the commercial target subscriber base assuming a 30% steady-state adoption ceiling among addressable households. Defines subscriber loading requirements for dimensioning RAN capacity.
Initial Day 1 Build (BTS),CAPEX & Siting Policy,TelTech / Comclark Commercial Plan,Option A Architecture Specification (FWA Design Phase),Fixed standard: Exactly 1 BTS installed per priority barangay on Day 1.,"Establishes immediate commercial presence, fast time-to-market, and coverage across 1,000 distinct communities per phase without speculative overbuilding."
Peak 30% Demand Capacity (BTS),RAN Capacity Dimensioning,3GPP / TelTech RAN Engineering,"Band n50 60MHz Dimensioning Model (@ 1,000 Subs/BTS)","Modeled: = ROUNDUP(Target Subs @ 30% / 1,000, 0)
Dimensioned strictly for 1,000 subscribers per BTS total across 3 sectors (~333 subs/sector).",Defines the long-term radio absorption capacity needed if 30% penetration is reached. Unlocks organic 2nd/3rd BTS on existing tower footprint without new land acquisition.
Deploy Score (35%),Site Siting Pillar 3,Multi-Criteria Spatial Engine,Converge KMZ Distance Model & Haversine Matrix,"Exponential decay model:
Score = 100 * exp(-dist_node_km / 3.0) + [10 pt bonus if dist_line_km <= 2.0 km].
Bounded [15.0, 100.0].","Quantifies the ease and cost of site construction, presence of 220V grid power, existing tower infrastructure, and short-distance optical fiber backhaul."
Viability Score (35%),Site Siting Pillar 2,Commercial Financial Engine,Household Demand Density & Regional GDP Matrix,"Continuous sweet-spot curve:
- If Subs < 300: 20 + 80 * (Subs / 300)
- If 300 <= Subs <= 1,000: 100.0 (Optimal 1-BTS fit)
- If Subs > 1,000: 100 - 6 * ln(1 + excess)
Adjusted for regional GDP and urban density.",Maximizes revenue density and guarantees that 1 BTS generates sufficient cash flow to achieve full CAPEX payback within 14 to 22 months.
Necessity Score (30%),Site Siting Pillar 1,Broadband Deficit Engine,"PSA Rural Classification, DOF Income Class, & Node Proximity","Multi-factor broadband deficit:
Score = 0.50 * Rural_Comp + 0.30 * Class_Comp + 0.20 * OffNet_Comp
Where OffNet_Comp = 25 pts (<=3km), 100 pts (>=10km), linear interpolation in between.
NCR metro penalty: -20 pts.","Directly identifies communities suffering from lack of commercial broadband, prioritizing unserved rural areas and preventing overbuild in saturated urban markets."
