Metric / Column Header,Category,Authoritative Agency / Operator,Primary Source Document / Asset,Technical Derivation & Mathematical Formula,Operational & Business Rationale
PSGC Code,Demographic & Admin,Philippine Statistics Authority (PSA),PSA List of Barangays & PSGC Registry,"10-digit standardized geographic code (e.g., '0102801001') assigned by the Philippine Standard Geographic Code registry.","Serves as the unique primary key joining census data, DICT coordinates, and municipal revenue class records."
"Region, Province, Municipality, Barangay",Demographic & Admin,Philippine Statistics Authority (PSA),PSA Official Administrative Hierarchy (DILG/PSA),Official administrative naming hierarchy as defined by the Republic of the Philippines DILG and PSA.,"Establishes precise administrative boundaries, political jurisdictions, and regional sales distribution territories."
2024 Pop (Population),Demographic & Market Size,Philippine Statistics Authority (PSA),"2024 Census of Population (POPCEN), Proclamation No. 973 & Statistical Table.xlsx","Official 2024 POPCEN population counts declared official by President Ferdinand R. Marcos Jr. (112,729,484 national total).",Direct measure of market size and local human density; foundational input for calculating total addressable home broadband households.
Urban / Rural ('U' / 'R'),Demographic & Siting,Philippine Statistics Authority (PSA),PSA Urban-Rural Classification of Barangays (CPH/POPCEN),"Binary statistical classification based on population threshold, contiguous street pattern, and commercial establishments.",Rural catchments ('R') receive priority under the Necessity pillar to target unserved populations with zero fixed-line broadband.
Avg HH Size (Persons/HH),Demographic & Household,"PSA 2024 POPCEN (Statistical Table.xlsx, Table 1)",2024 POPCEN Provincial Average Household Size Matrix,Localized average persons per household derived from official 2024 POPCEN tables. National mean is 3.80 (updated from 4.10 in 2020).,Converts raw population into family dwelling units (households). Using 2024 localized multipliers reflects smaller modern family sizes.
Households,Market Sizing,Derived Metric (2024 POPCEN),"Modeled: = ROUND(2024 Pop / Avg HH Size, 0)","Mathematical division of barangay population by 2024 average household size, rounded to the nearest whole household.",Represents the Total Addressable Market (TAM) of home broadband premises within the barangay boundaries.
FIES Poverty Incidence (%),Economic & Poverty Metric,Philippine Statistics Authority (PSA),PSA Family Income and Expenditure Survey (FIES) Official Poverty Statistics,"Proportion of families with per-capita income below the official poverty threshold (₱13,873/mo for family of 5; ranges from 1.1% in NCR to 23.5% in BARMM).","Dual role: in Necessity, prioritizes unserved lower-income catchments for universal service; in Viability, discounts subsistence households to reflect commercial affordability."
Municipal Income Class,Economic & Policy,Department of Finance (DOF) / BLGF,DOF Department Order No. 074-2024 & RA 11964 (LGU Income Classification Act),Official classification of local government units from 1st class (highest income) to 6th class (lowest income) based on regular revenues.,Focuses universal service on 4th to 6th class municipalities where wireline FTTH economics fail for incumbents.
Latitude & Longitude,Geospatial Coordinates,Department of Information and Communications Technology (DICT),2026 DICT FPIAP GIDA Barangay Prioritization Tool Table.csv,"WGS84 decimal degree coordinates for 41,981 unique barangays, verified through DICT Free Public Internet Access Program (FPIAP) surveys.",Provides the precise spatial centroid of the barangay settlement core for point-to-point distance calculations to fiber nodes and towers.
Dist. to Nearest Node (km),Optical Transport Proximity,Converge ICT Solutions Inc.,"NATIONAL & REGIONAL BACKBONE_NOV 2024_REPORT.kmz (2,405 active backbone / IP-MPLS nodes)","Great-circle distance calculated via Haversine formula:
d = 2R * arcsin(sqrt(sin^2(dphi/2) + cos(p1)*cos(p2)*sin^2(dlmb/2)))
against all 2,405 Converge backbone nodes.",Primary driver of backhaul CAPEX and deployment velocity. Sites within 1 km (Tier 1A) allow rapid fiber drop with minimal lateral construction cost.
